71,2.8,2.8,2.7,2.6,2.7,3.1,3.1,3.2,,3.2,2.7,4.2,4.4,4.6,4.6,4.3,4.7,4.4,3.9,3.8,3.4,3.4,3.1,3.1,3.1,2.2,2.1,1.8,1.9,2.2,2.5,2.4,2.7,2.3,2.3,2.3,2.1,2.1,2.2,2,2.1,2,2.2,2.6,4,3.1,3.5,4
72,2.5,2.8,3.1,3.3,3.2,3.1,3.2,3,3,2.8,3.3,,5.4,5.6,5.8,5.2,,4.4,4.1,4.5,4.4,4.2,4.6,5.1,4.9,5.1,5.1,5.3,4.7,4.5,4.8,4.8,5.1,4.7,4.3,4,3.7,3.4,3.2,3.6,3.3,3,3.1,,3.1,3.2,3,2.7
73,1.7,2.4,3.2,,,,,,3.1,3.1,,1.4,1.3,1.5,1.5,1.9,2.4,,2.8,2.4,2,1.9,1.7,1.6,1.6,4.7,4.6,4.2,3.7,4,3.2,2.5,2.5,1.9,1.8,4.7,4,4.1,3.9,4,4,4.1,5,3.7,3.3,3,2.6,2.3
74,3.1,1.6,1.8,1.8,1.7,1.6,1.5,2,1.5,1.8,1.8,2.4,3.2,3.4,3,2.9,2.8,2.6,2.6,2.6,2.4,2.8,2.9,2.7,2.8,2.8,3.1,2.9,2.8,2.6,2.6,2.5,2.6,2.3,2.3,2.4,2.1,2.5,3,2.3,2.2,2.2,1.8,2,2,2.2,2.3,2.1
75,1.2,,3.3,3.1,2.6,2.5,2.8,4.1,4.2,4.2,2.9,2,1.9,2.1,2.1,1.9,2,1.9,2,2.2,1.9,1.6,1.8,1.5,1.6,1.8,1.6,1.8,2.1,2.1,2,3,3.2,3.3,2.3,2.2,2.2,2.1,2,2,2.2,2.7,2.4,2.7,2.8,2.3,1.8,2.7
76,,,1.3,1.5,2.7,1.8,3.3,,5,,4.7,5.9,6.6,6.3,,6.7,5.1,4.5,5.7,5.4,5,4.7,5.4,3.8,3.5,3.7,5.2,4.4,4,4.2,3.5,4.7,5.6,6.4,4.2,8,7.7,7.7,7.9,7.5,6.8,6.3,6,3.3,4.3,3.6,3.8,2.4
77,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,8.5,0.34,,,,,,,,,,
78,,7.5,6.3,6,2.8,2.7,2.1,2.2,2.5,2.4,3.7,3,2.4,1.2,2,4.5,4.3,5,2.9,1.9,1.7,1.6,2,2.2,2.1,2.2,3.7,2.9,2.6,3.2,2.4,2.5,2.2,2.8,2.9,3,2.4,2.3,3.3,2.5,5,2.6,4,3.2,4.4,3.6,3.4,3.3
79,1.1,,,,,,,,,,,,,,,1.88,,,,,,,IV,,,,,,,,,,,0.46,,,4.6,1.26,,,,,,,,,,
80,1.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1,1.6,1.5,1.3,1.2,1.1,2.4,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.5,1.4,2,1.7,1.9,2,2.8,3.8,3.9,3.2,,3.5,1.3,1.9,2.5,2.8,2.2,2.2,2.3,2.2,2.1,2.2,1.5,1.9,1.4
